Time [s] 	IdealHeaterCoolerFixedMassFlow.Location(0).Temperature [K] 	IdealHeaterCoolerFixedMassFlow.Zone(1).AirTemperature [K] 	SupplyTemperature.SupplyTemperature [C]
0	263.15	293.15	22
600	263.15	291.89026529856	22
1200	263.15	291.55798066509	22
1800	263.15	291.42382655673	22
2400	263.15	291.34675043746	22
3000	263.15	291.2915071068	22
3600	263.15	291.24633616006	22
4200	263.15	291.20641102815	22
4800	263.15	291.16958401574	22
5400	263.15	291.13487004774	22
6000	263.15	291.10177737023	22
6600	263.15	291.07008315214	22
7200	263.15	291.03964206428	22
7800	263.15	291.01036915324	22
8400	263.15	290.98220000177	22
9000	263.15	290.95508398067	22
9600	263.15	290.92897427634	22
10200	263.15	290.90383192511	22
10800	263.15	290.87962649955	22
11400	263.15	290.85631084989	22
12000	263.15	290.83386314937	22
12600	263.15	290.81224899221	22
13200	263.15	290.79143956394	22
13800	263.15	290.77140731081	22
14400	263.15	290.75212702104	22
15000	263.15	290.7335697476	22
15600	263.15	290.71571468642	22
16200	263.15	290.69853718137	22
16800	263.15	290.68201462867	22
17400	263.15	290.66612522826	22
18000	263.15	290.65084870159	22
18600	263.15	290.63616244665	22
19200	263.15	290.62204911611	22
19800	263.15	290.60848897553	22
20400	263.15	290.59546368165	22
21000	263.15	290.58295549607	22
21600	263.15	290.57094784401	22
22200	263.15	290.55942238337	35
22800	263.15	290.54850811817	35
23400	263.15	290.54452306892	35
24000	263.15	290.56717287791	35
24600	263.15	290.62585155555	35
25200	263.15	290.71376533576	35
25800	263.15	290.81965439476	35
26400	263.15	290.93471820852	35
27000	263.15	291.05353389557	35
27600	263.15	291.17316191847	35
28200	263.15	291.29213126302	35
28800	263.15	291.40966449775	35
29400	263.15	291.52548791174	35
30000	263.15	291.63939722263	35
30600	263.15	291.75131958787	35
31200	263.15	291.86122446401	35
31800	263.15	291.96912330797	35
32400	263.15	292.07503588079	35
33000	263.15	292.17898748903	35
33600	263.15	292.28100348504	35
34200	263.15	292.38113880869	35
34800	263.15	292.47942367581	35
35400	263.15	292.57590095954	35
36000	263.15	292.67061279066	35
36600	263.15	292.76360084275	35
37200	263.15	292.85490981766	35
37800	263.15	292.9445816887	35
38400	263.15	293.03265819045	35
39000	263.15	293.11918044233	35
39600	263.15	293.20418782657	35
40200	263.15	293.28772223018	35
40800	263.15	293.36981951823	35
41400	263.15	293.4505179441	35
42000	263.15	293.52985391427	35
42600	263.15	293.60786283812	35
43200	263.15	293.6845781367	35
43800	263.15	293.76003622298	35
44400	263.15	293.83426658339	35
45000	263.15	293.90730172952	35
45600	263.15	293.97917225238	35
46200	263.15	294.0499078382	35
46800	263.15	294.11953641017	35
47400	263.15	294.18808855934	35
48000	263.15	294.25558875414	35
48600	263.15	294.32206417859	35
49200	263.15	294.38754034881	35
49800	263.15	294.45204201776	35
50400	263.15	294.51559245801	35
51000	263.15	294.57821718509	35
51600	263.15	294.63993657764	35
52200	263.15	294.70077330058	35
52800	263.15	294.76074862503	35
53400	263.15	294.81988318879	35
54000	263.15	294.87819640226	35
54600	263.15	294.93570953598	35
55200	263.15	294.99243960241	35
55800	263.15	295.04840551061	35
56400	263.15	295.10362501537	35
57000	263.15	295.15811534771	35
57600	263.15	295.21189272394	35
58200	263.15	295.26497489832	35
58800	263.15	295.31737610477	35
59400	263.15	295.36911214545	35
60000	263.15	295.42019786831	35
60600	263.15	295.47064768845	35
61200	263.15	295.52047518227	35
61800	263.15	295.56969519731	35
62400	263.15	295.61831967151	35
63000	263.15	295.66636183889	35
63600	263.15	295.71383414476	35
64200	263.15	295.76074867655	35
64800	263.15	295.80711682831	35
65400	263.15	295.85295104497	22
66000	263.15	295.89811585302	22
66600	263.15	295.93629763603	22
67200	263.15	295.94779575516	22
67800	263.15	295.92312903804	22
68400	263.15	295.86920879383	22
69000	263.15	295.79720946099	22
69600	263.15	295.71596004819	22
70200	263.15	295.63089810126	22
70800	263.15	295.54491638519	22
71400	263.15	295.45949961256	22
72000	263.15	295.3753938308	22
72600	263.15	295.29294167269	22
73200	263.15	295.21229829725	22
73800	263.15	295.1335376584	22
74400	263.15	295.05667779929	22
75000	263.15	294.98171184268	22
75600	263.15	294.9086194339	22
76200	263.15	294.83737353664	22
76800	263.15	294.7679404238	22
77400	263.15	294.70027825124	22
78000	263.15	294.63434528946	22
78600	263.15	294.57009659026	22
79200	263.15	294.50748867947	22
79800	263.15	294.44647628152	22
80400	263.15	294.38701563187	22
81000	263.15	294.3290608666	22
81600	263.15	294.27257374216	22
82200	263.15	294.21750511721	22
82800	263.15	294.16381938726	22
83400	263.15	294.11147023012	22
84000	263.15	294.06042325646	22
84600	263.15	294.01063747483	22
85200	263.15	293.96207591299	22
85800	263.15	293.91470209157	22
86400	263.15	293.86848195507	22
