   Simtime [s] 	   Realtime [s]	 Percentage [%]
           7200	       1.037537	         8.3333
          14400	       1.751348	         16.667
          21600	       2.486155	             25
          28800	       3.222901	         33.333
          36000	       3.990229	         41.667
          43200	       4.652854	             50
          50400	       5.490684	         58.333
          57600	       6.310431	         66.667
          64800	       6.990931	             75
          72000	       7.805763	         83.333
          79200	       8.542733	         91.667
          86400	       9.325596	            100
