Time [h]	Azimuth [Deg]	Altitude [Deg]	60 [---]	1 [---]	160 [---]	2 [---]	4 [---]	3 [---]
3528.000000	0.021746	-18.7305	0	0	0	0	0	0
3528.500000	7.38656	-18.4155	0	0	0	0	0	0
3529.000000	14.6677	-17.4897	0	0	0	0	0	0
3529.500000	21.792	-15.978	0	0	0	0	0	0
3530.000000	28.7035	-13.9182	0	0	0	0	0	0
3530.500000	35.3669	-11.3578	0	0	0	0	0	0
3531.000000	41.7684	-8.34949	0	0	0	0	0	0
3531.500000	47.9134	-4.94766	0	0	0	0	0	0
3532.000000	53.8233	-1.2061	0	0	0	0	0	0
3532.500000	59.5322	2.82381	0	0	0	0	0	1
3533.000000	65.0839	7.09373	0	0	0	0	0	1
3533.500000	70.5308	11.5584	0	0	0	0	0	1
3534.000000	75.9333	16.1749	0	0	0	0	0	1
3534.500000	81.3608	20.9018	0	0	0	0	0	1
3535.000000	86.894	25.6976	0	0	0	0	0	1
3535.500000	92.6288	30.5186	0.66	0	1	0.34	0	0.95
3536.000000	98.6818	35.3163	0.5325	0	1	0.4675	0	0.9
3536.500000	105.197	40.0333	0.3825	0	1	0.6175	0	0.8
3537.000000	112.355	44.5987	0.24	0	1	0.76	0.06	0.7
3537.500000	120.378	48.92	0.1875	0.065	1	0.8775	0.32	0.6
3538.000000	129.521	52.8749	0.21	0.18	1	0.97	0.72	0.4
3538.500000	140.045	56.302	0.25	0.25	0.96	1	1	0.09
3539.000000	152.111	58.9994	0.3	0.3	0.88	1	1	0
3539.500000	165.612	60.7453	0.35	0.35	0.84	1	1	0
3540.000000	180.015	61.3537	0.35	0.35	0.84	1	0	0
3540.500000	194.42	60.7497	0.35	0.35	0.84	1	0	0
3541.000000	207.925	59.0079	0.3	0.3	0.88	1	0	0
3541.500000	219.995	56.3142	0.25	0.25	0.96	1	0	0
3542.000000	230.523	52.8907	0.21	0.18	1	0.97	0	0
3542.500000	239.672	48.9393	0.1875	0.065	1	0.8775	0	0
3543.000000	247.698	44.6215	0.24	0	1	0.76	0	0
3543.500000	254.859	40.06	0.38	0	1	0.62	0	0
3544.000000	261.378	35.347	0.5325	0	1	0.4675	0	0
3544.500000	267.433	30.554	0.66	0	1	0.34	0	0
3545.000000	273.171	25.738	0	0	0	0	0	0
3545.500000	278.706	20.9479	0	0	0	0	0	0
3546.000000	284.136	16.2272	0	0	0	0	0	0
3546.500000	289.54	11.6176	0	0	0	0	0	0
3547.000000	294.989	7.16065	0	0	0	0	0	0
3547.500000	300.541	2.89911	0	0	0	0	0	0
3548.000000	306.25	-1.1217	0	0	0	0	0	0
3548.500000	312.16	-4.85347	0	0	0	0	0	0
3549.000000	318.303	-8.24492	0	0	0	0	0	0
3549.500000	324.7	-11.2424	0	0	0	0	0	0
3550.000000	331.358	-13.7918	0	0	0	0	0	0
3550.500000	338.261	-15.8405	0	0	0	0	0	0
3551.000000	345.375	-17.3416	0	0	0	0	0	0
3551.500000	352.643	-18.2575	0	0	0	0	0	0
3552.000000	359.993	-18.5637	0	0	0	0	0	0
3552.500000	7.34256	-18.2518	0	0	0	0	0	0
3553.000000	14.6092	-17.3304	0	0	0	0	0	0
3553.500000	21.7204	-15.824	0	0	0	0	0	0
3554.000000	28.6203	-13.7703	0	0	0	0	0	0
3554.500000	35.2738	-11.2164	0	0	0	0	0	0
3555.000000	41.6668	-8.21456	0	0	0	0	0	0
3555.500000	47.8046	-4.81914	0	0	0	0	0	0
3556.000000	53.7083	-1.08365	0	0	0	0	0	0
3556.500000	59.4115	2.94068	0	0	0	0	0	0
3557.000000	64.958	7.20565	0	0	0	0	0	1
3557.500000	70.3997	11.6661	0	0	0	0	0	1
3558.000000	75.7969	16.2792	0	0	0	0	0	1
3558.500000	81.2186	21.0037	0	0	0	0	0	1
3559.000000	86.7456	25.7981	0	0	0	0	0	1
3559.500000	92.4736	30.6189	0.66	0	1	0.34	0	0.95
3560.000000	98.5192	35.4177	0.5325	0	1	0.4675	0	0.9
3560.500000	105.027	40.1375	0.3825	0	1	0.6175	0	0.8
3561.000000	112.178	44.7074	0.24	0	1	0.76	0.06	0.7
3561.500000	120.194	49.0354	0.1875	0.065	1	0.8775	0.32	0.6
3562.000000	129.337	52.9989	0.21	0.18	1	0.97	0.72	0.4
3562.500000	139.869	56.4366	0.25	0.25	0.96	1	1	0.09
3563.000000	151.956	59.1455	0.3	0.3	0.88	1	1	0
3563.500000	165.498	60.9019	0.35	0.35	0.84	1	1	0
3564.000000	179.957	61.5173	0.35	0.35	0.84	1	0	0
3564.500000	194.421	60.9156	0.35	0.35	0.84	1	0	0
3565.000000	207.976	59.1715	0.3	0.3	0.88	1	0	0
3565.500000	220.081	56.4729	0.25	0.25	0.96	1	0	0
3566.000000	230.628	53.0437	0.21	0.18	1	0.97	0	0
3566.500000	239.785	49.0869	0.1875	0.065	1	0.8775	0	0
3567.000000	247.814	44.7647	0.24	0	1	0.76	0	0
3567.500000	254.974	40.2	0.38	0	1	0.62	0	0
3568.000000	261.489	35.4851	0.5325	0	1	0.4675	0	0
3568.500000	267.54	30.691	0.66	0	1	0.34	0	0
3569.000000	273.272	25.8751	0	0	0	0	0	0
3569.500000	278.803	21.0857	0	0	0	0	0	0
3570.000000	284.227	16.3665	0	0	0	0	0	0
3570.500000	289.626	11.7591	0	0	0	0	0	0
3571.000000	295.068	7.30462	0	0	0	0	0	0
3571.500000	300.615	3.04599	0	0	0	0	0	0
3572.000000	306.317	-0.971666	0	0	0	0	0	0
3572.500000	312.218	-4.70022	0	0	0	0	0	0
3573.000000	318.352	-8.08856	0	0	0	0	0	0
3573.500000	324.739	-11.0833	0	0	0	0	0	0
3574.000000	331.385	-13.6304	0	0	0	0	0	0
3574.500000	338.275	-15.6776	0	0	0	0	0	0
3575.000000	345.375	-17.1783	0	0	0	0	0	0
3575.500000	352.628	-18.095	0	0	0	0	0	0
