Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.1 Sonnenlichtfaktor [---]	Variante 9.2 Sonnenlichtfaktor [---]	Variante 9.3 Sonnenlichtfaktor [---]	Variante 9.4 Sonnenlichtfaktor [---]	Variante 9.5 Sonnenlichtfaktor [---]	Variante 9.6 Sonnenlichtfaktor [---]
3559.5	92.46	30.65	0.66	0.34	0	1	0.95	0
3560	98.51	35.44	0.53	0.47	0	1	0.89	0
3560.5	105.03	40.16	0.38	0.62	0	1	0.81	0
3561	112.18	44.73	0.24	0.76	0	1	0.71	0.07
3561.5	120.2	49.05	0.19	0.88	0.07	1	0.58	0.33
3562	129.36	53.02	0.21	0.97	0.18	1	0.39	0.72
3562.5	139.9	56.4	0.26	1	0.26	0.97	0.07	1
3563	151.99	59.15	0.3	1	0.3	0.9	0	1
3563.5	165.54	60.91	0.32	1	0.32	0.86	0	1
3564	180	61.51	0.33	1	0.33	0.84	0	1
