Time [min]	Var09.1 [---]	Var09.2 [---]	Var09.3 [---]	Var09.4 [---]	Var09.5 [---]	Var09.6 [---]
213540	-0.05	-0.05	-0.05	-0.05	0.95	-0.05
213570	0.61	0.29	-0.05	0.95	0.9	-0.05
213600	0.48	0.42	-0.05	0.95	0.84	-0.05
213630	0.33	0.57	-0.05	0.95	0.76	-0.05
213660	0.19	0.71	-0.05	0.95	0.66	0.02
213690	0.14	0.83	0.02	0.95	0.53	0.28
213720	0.16	0.92	0.13	0.95	0.34	0.67
213750	0.21	0.95	0.21	0.92	0.02	0.95
213780	0.25	0.95	0.25	0.85	-0.05	0.95
213810	0.27	0.95	0.27	0.81	-0.05	0.95
213840	0.28	0.95	0.28	0.79	-0.05	0.95
