Time [h]	Zone(id=1).AirTemperature [C]
3840	20
3841	16.0111
3842	14.7964
3843	13.845
3844	14.353
3845	16.8166
3846	19.1286
3847	24.1316
3848	34.9223
3849	50.963
3850	72.1488
3851	83.934
3852	83.301
3853	83.4704
3854	93.8597
3855	96.5339
3856	70.8793
3857	59.3345
3858	51.0881
3859	41.7877
3860	33.1636
3861	26.6443
3862	22.3908
3863	19.3229
3864	17.1317
3865	15.5781
3866	14.1299
3867	13.1326
3868	13.6311
3869	18.0789
3870	27.0463
3871	38.2906
3872	49.1287
3873	60.2023
3874	72.7157
3875	93.8428
3876	119.759
3877	116.99
3878	123.73
3879	112.335
3880	87.6008
3881	72.7714
3882	59.6758
3883	49.2582
3884	38.4806
3885	29.4784
3886	23.8864
3887	20.1355
3888	17.4917
3889	15.4524
3890	14.1505
3891	13.2839
3892	14.2506
3893	18.4847
3894	24.9582
3895	39.3932
3896	59.9176
3897	72.6961
3898	66.2331
3899	65.0192
3900	64.1281
3901	63.423
3902	68.4095
3903	65.2997
3904	72.7293
3905	70.2716
3906	59.3841
3907	48.6947
3908	37.7889
3909	29.0111
3910	23.437
3911	19.8131
3912	17.2255
3913	15.4038
3914	13.7488
3915	12.5292
3916	12.867
3917	16.4053
3918	22.4815
3919	30.8207
3920	47.2702
3921	79.7604
3922	112.11
3923	117.691
3924	110.895
3925	111.605
3926	115.57
3927	128.558
3928	117.296
3929	93.5982
3930	76.1012
3931	61.9454
3932	47.9896
3933	37.0431
3934	30.0462
3935	25.5479
3936	22.3965
3937	20.1262
3938	18.2475
3939	17.0797
3940	17.4291
3941	21.3784
3942	29.3459
3943	39.2262
3944	54.4077
3945	84.2139
3946	120.303
3947	154.215
3948	173.911
3949	176.881
3950	179.474
3951	160.801
3952	130.55
3953	98.1446
3954	76.1658
3955	62.1593
3956	50.5324
3957	40.6202
3958	34.4027
3959	30.1715
3960	27.4096
3961	25.3949
3962	23.8709
3963	22.7392
3964	22.4542
3965	23.6782
3966	26.9311
3967	35.0882
3968	48.5862
3969	71.2288
3970	109.03
3971	137.397
3972	155.964
3973	181.1
3974	192.494
3975	181.685
3976	157.837
3977	124.364
3978	99.9645
3979	79.7456
3980	62.4904
3981	49.359
3982	40.7289
3983	34.9031
3984	30.8971
3985	28.1123
3986	26.1024
3987	24.7855
3988	25.1887
3989	29.1523
3990	35.4466
3991	43.753
3992	58.6204
3993	88.1307
3994	123.046
3995	157.04
3996	183.59
3997	194.009
3998	178.238
3999	149.585
4000	135.831
4001	113.908
4002	92.9864
4003	75.0352
4004	59.3626
4005	47.5461
4006	39.884
4007	34.5837
4008	30.9249
4009	28.3592
4010	26.6428
4011	25.4728
4012	25.9322
4013	28.8892
4014	33.7883
4015	45.9833
4016	57.5091
4017	58.2412
4018	64.1393
4019	72.7875
4020	70.8819
4021	66.3384
4022	70.425
4023	81.9753
4024	83.3806
4025	68.638
4026	56.9968
4027	46.8085
4028	39.4933
4029	33.9149
4030	29.9099
4031	27.2204
4032	25.3904
4033	23.6809
4034	22.0843
4035	20.8308
4036	20.794
4037	23.824
4038	31.1821
4039	43.3122
4040	58.7935
4041	85.8792
4042	122.684
4043	158.485
4044	186.626
4045	205.258
4046	207.877
4047	194.226
4048	165.16
4049	125.981
4050	99.1893
4051	78.1536
4052	60.8676
4053	47.7158
4054	38.8629
4055	32.6316
4056	28.4195
4057	25.3336
4058	23.1534
4059	21.4301
4060	21.1145
4061	23.7568
4062	28.7334
4063	35.5117
4064	50.0314
4065	82.7613
4066	117.722
4067	147.692
4068	179.567
4069	189.586
4070	181.855
4071	158.402
4072	137.567
4073	116.423
4074	95.1009
4075	75.859
4076	59.9654
4077	47.7078
4078	39.5319
4079	33.9284
4080	29.808
